utterance,meaning,valence,probability,affect_prior
20,20,1,0.54487,0.19286
50,20,1,0.092154,0.19286
100,20,1,0.099912,0.19286
200,20,1,0.1019,0.19286
500,20,1,0.1019,0.19286
1000,20,1,0.1019,0.19286
2000,20,1,0.1019,0.19286
10000,20,1,0.1428,0.19286
21,20,1,0.044545,0.19286
51,20,1,0.029009,0.19286
101,20,1,0.04282,0.19286
201,20,1,0.054568,0.19286
501,20,1,0.054568,0.19286
1001,20,1,0.054568,0.19286
2001,20,1,0.054568,0.19286
10001,20,1,0.1428,0.19286
20,50,1,0.030028,0.42171
50,50,1,0.34107,0.42171
100,50,1,0.033696,0.42171
200,50,1,0.034366,0.42171
500,50,1,0.034366,0.42171
1000,50,1,0.034366,0.42171
2000,50,1,0.034366,0.42171
10000,50,1,0.048161,0.42171
21,50,1,0.0091231,0.42171
51,50,1,0.022114,0.42171
101,50,1,0.014442,0.42171
201,50,1,0.018404,0.42171
501,50,1,0.018404,0.42171
1001,50,1,0.018404,0.42171
2001,50,1,0.018404,0.42171
10001,50,1,0.048159,0.42171
20,100,1,0.0029939,0.67555
50,100,1,0.0030987,0.67555
100,100,1,0.10976,0.67555
200,100,1,0.0034263,0.67555
500,100,1,0.0034263,0.67555
1000,100,1,0.0034263,0.67555
2000,100,1,0.0034263,0.67555
10000,100,1,0.0048017,0.67555
21,100,1,0.00090958,0.67555
51,100,1,0.00097543,0.67555
101,100,1,0.0071927,0.67555
201,100,1,0.0018349,0.67555
501,100,1,0.0018349,0.67555
1001,100,1,0.0018349,0.67555
2001,100,1,0.0018349,0.67555
10001,100,1,0.0048015,0.67555
20,200,1,0.0013077,0.71626
50,200,1,0.0013535,0.71626
100,200,1,0.0014675,0.71626
200,200,1,0.063247,0.71626
500,200,1,0.0014966,0.71626
1000,200,1,0.0014966,0.71626
2000,200,1,0.0014966,0.71626
10000,200,1,0.0020974,0.71626
21,200,1,0.00039731,0.71626
51,200,1,0.00042607,0.71626
101,200,1,0.00062893,0.71626
201,200,1,0.004923,0.71626
501,200,1,0.00080148,0.71626
1001,200,1,0.00080148,0.71626
2001,200,1,0.00080148,0.71626
10001,200,1,0.0020973,0.71626
20,500,1,0.0013077,0.71626
50,500,1,0.0013535,0.71626
100,500,1,0.0014675,0.71626
200,500,1,0.0014966,0.71626
500,500,1,0.063247,0.71626
1000,500,1,0.0014966,0.71626
2000,500,1,0.0014966,0.71626
10000,500,1,0.0020974,0.71626
21,500,1,0.00039731,0.71626
51,500,1,0.00042607,0.71626
101,500,1,0.00062893,0.71626
201,500,1,0.00080148,0.71626
501,500,1,0.004923,0.71626
1001,500,1,0.00080148,0.71626
2001,500,1,0.00080148,0.71626
10001,500,1,0.0020973,0.71626
20,1000,1,0.0013077,0.71626
