utterance,meaning,valence,probability,affect_prior
20,20,1,0.65042,0.19286
50,20,1,0.073668,0.19286
100,20,1,0.086708,0.19286
200,20,1,0.092636,0.19286
500,20,1,0.092636,0.19286
1000,20,1,0.092636,0.19286
2000,20,1,0.092636,0.19286
10000,20,1,0.1432,0.19286
21,20,1,0.13313,0.19286
51,20,1,0.072834,0.19286
101,20,1,0.085794,0.19286
201,20,1,0.092636,0.19286
501,20,1,0.092636,0.19286
1001,20,1,0.092636,0.19286
2001,20,1,0.092636,0.19286
10001,20,1,0.1432,0.19286
20,50,1,0.023747,0.42171
50,50,1,0.42357,0.42171
100,50,1,0.029243,0.42171
200,50,1,0.031242,0.42171
500,50,1,0.031242,0.42171
1000,50,1,0.031242,0.42171
2000,50,1,0.031242,0.42171
10000,50,1,0.048295,0.42171
21,50,1,0.023489,0.42171
51,50,1,0.068196,0.42171
101,50,1,0.028935,0.42171
201,50,1,0.031242,0.42171
501,50,1,0.031242,0.42171
1001,50,1,0.031242,0.42171
2001,50,1,0.031242,0.42171
10001,50,1,0.048295,0.42171
20,100,1,0.0023676,0.67555
50,100,1,0.0024771,0.67555
100,100,1,0.15149,0.67555
200,100,1,0.0031149,0.67555
500,100,1,0.0031149,0.67555
1000,100,1,0.0031149,0.67555
2000,100,1,0.0031149,0.67555
10000,100,1,0.004815,0.67555
21,100,1,0.0023419,0.67555
51,100,1,0.0024491,0.67555
101,100,1,0.019129,0.67555
201,100,1,0.0031149,0.67555
501,100,1,0.0031149,0.67555
1001,100,1,0.0031149,0.67555
2001,100,1,0.0031149,0.67555
10001,100,1,0.004815,0.67555
20,200,1,0.0010342,0.71626
50,200,1,0.001082,0.71626
100,200,1,0.0012735,0.71626
200,200,1,0.091688,0.71626
500,200,1,0.0013606,0.71626
1000,200,1,0.0013606,0.71626
2000,200,1,0.0013606,0.71626
10000,200,1,0.0021032,0.71626
21,200,1,0.0010229,0.71626
51,200,1,0.0010698,0.71626
101,200,1,0.0012601,0.71626
201,200,1,0.011222,0.71626
501,200,1,0.0013606,0.71626
1001,200,1,0.0013606,0.71626
2001,200,1,0.0013606,0.71626
10001,200,1,0.0021032,0.71626
20,500,1,0.0010342,0.71626
50,500,1,0.001082,0.71626
100,500,1,0.0012735,0.71626
200,500,1,0.0013606,0.71626
500,500,1,0.091688,0.71626
1000,500,1,0.0013606,0.71626
2000,500,1,0.0013606,0.71626
10000,500,1,0.0021032,0.71626
21,500,1,0.0010229,0.71626
51,500,1,0.0010698,0.71626
