utterance,meaning,valence,probability,affect_prior
20,20,1,0.53598,0.18626
40,20,1,0.063599,0.18626
60,20,1,0.18282,0.18626
80,20,1,0.1586,0.18626
100,20,1,0.11175,0.18626
120,20,1,0.071836,0.18626
10000,20,1,0.12113,0.18626
21,20,1,0.040567,0.18626
41,20,1,0.01871,0.18626
61,20,1,0.10538,0.18626
81,20,1,0.12229,0.18626
101,20,1,0.084521,0.18626
121,20,1,0.045699,0.18626
10001,20,1,0.12112,0.18626
20,40,1,0.0464,0.35794
40,40,1,0.41352,0.35794
60,40,1,0.11128,0.35794
80,40,1,0.096536,0.35794
100,40,1,0.068022,0.35794
120,40,1,0.043725,0.35794
10000,40,1,0.073729,0.35794
21,40,1,0.013948,0.35794
41,40,1,0.025448,0.35794
61,40,1,0.064141,0.35794
81,40,1,0.074434,0.35794
101,40,1,0.051446,0.35794
121,40,1,0.027816,0.35794
10001,40,1,0.073726,0.35794
20,60,1,0.0028289,0.47155
40,60,1,0.0023601,0.47155
60,60,1,0.10325,0.47155
80,60,1,0.0058856,0.47155
100,60,1,0.0041471,0.47155
120,60,1,0.0026658,0.47155
10000,60,1,0.0044951,0.47155
21,60,1,0.00085035,0.47155
41,60,1,0.00069431,0.47155
61,60,1,0.01088,0.47155
81,60,1,0.004538,0.47155
101,60,1,0.0031365,0.47155
121,60,1,0.0016959,0.47155
10001,60,1,0.0044949,0.47155
20,80,1,0.00053501,0.60023
40,80,1,0.00044636,0.60023
60,80,1,0.0012831,0.60023
80,80,1,0.028886,0.60023
100,80,1,0.00078432,0.60023
120,80,1,0.00050417,0.60023
10000,80,1,0.00085013,0.60023
21,80,1,0.00016082,0.60023
41,80,1,0.00013131,0.60023
61,80,1,0.00073957,0.60023
81,80,1,0.0035803,0.60023
101,80,1,0.0005932,0.60023
121,80,1,0.00032073,0.60023
10001,80,1,0.00085009,0.60023
20,100,1,0.00043102,0.67793
40,100,1,0.0003596,0.67793
60,100,1,0.0010337,0.67793
80,100,1,0.00089675,0.67793
100,100,1,0.024912,0.67793
120,100,1,0.00040618,0.67793
10000,100,1,0.00068489,0.67793
21,100,1,0.00012956,0.67793
41,100,1,0.00010579,0.67793
61,100,1,0.00059582,0.67793
81,100,1,0.00069144,0.67793
101,100,1,0.0028087,0.67793
121,100,1,0.00025839,0.67793
10001,100,1,0.00068486,0.67793
20,120,1,0.00071493,0.73289
40,120,1,0.00059646,0.73289
60,120,1,0.0017146,0.73289
80,120,1,0.0014874,0.73289
100,120,1,0.0010481,0.73289
120,120,1,0.038196,0.73289
10000,120,1,0.001136,0.73289
21,120,1,0.00021491,0.73289
41,120,1,0.00017547,0.73289
61,120,1,0.00098828,0.73289
81,120,1,0.0011469,0.73289
101,120,1,0.00079268,0.73289
121,120,1,0.0034271,0.73289
10001,120,1,0.001136,0.73289
20,10000,1,5.5968e-08,0.68318
40,10000,1,4.6694e-08,0.68318
60,10000,1,1.3423e-07,0.68318
80,10000,1,1.1644e-07,0.68318
100,10000,1,8.2048e-08,0.68318
120,10000,1,5.2741e-08,0.68318
10000,10000,1,3.6011e-06,0.68318
21,10000,1,1.6824e-08,0.68318
41,10000,1,1.3737e-08,0.68318
61,10000,1,7.7367e-08,0.68318
81,10000,1,8.9782e-08,0.68318
101,10000,1,6.2055e-08,0.68318
121,10000,1,3.3551e-08,0.68318
10001,10000,1,5.2665e-07,0.68318
20,21,1,0.21729,0.20217
40,21,1,0.062355,0.20217
60,21,1,0.17925,0.20217
80,21,1,0.1555,0.20217
100,21,1,0.10957,0.20217
120,21,1,0.070432,0.20217
10000,21,1,0.11876,0.20217
21,21,1,0.74137,0.20217
41,21,1,0.018344,0.20217
61,21,1,0.10332,0.20217
81,21,1,0.1199,0.20217
101,21,1,0.082869,0.20217
121,21,1,0.044805,0.20217
10001,21,1,0.11876,0.20217
20,41,1,0.045557,0.3696
40,41,1,0.15439,0.3696
60,41,1,0.10926,0.3696
80,41,1,0.094784,0.3696
100,41,1,0.066787,0.3696
120,41,1,0.042931,0.3696
10000,41,1,0.072391,0.3696
21,41,1,0.013694,0.3696
41,41,1,0.58457,0.3696
61,41,1,0.062976,0.3696
81,41,1,0.073082,0.3696
101,41,1,0.050512,0.3696
121,41,1,0.027311,0.3696
10001,41,1,0.072388,0.3696
20,61,1,0.002816,0.47396
40,61,1,0.0023494,0.47396
60,61,1,0.037123,0.47396
80,61,1,0.0058587,0.47396
100,61,1,0.0041282,0.47396
120,61,1,0.0026537,0.47396
10000,61,1,0.0044746,0.47396
21,61,1,0.00084647,0.47396
41,61,1,0.00069115,0.47396
61,61,1,0.29207,0.47396
81,61,1,0.0045173,0.47396
101,61,1,0.0031222,0.47396
121,61,1,0.0016881,0.47396
10001,61,1,0.0044744,0.47396
20,81,1,0.00052661,0.6065
40,81,1,0.00043935,0.6065
60,81,1,0.001263,0.6065
80,81,1,0.009741,0.6065
100,81,1,0.00077201,0.6065
120,81,1,0.00049626,0.6065
10000,81,1,0.00083679,0.6065
21,81,1,0.0001583,0.6065
41,81,1,0.00012925,0.6065
61,81,1,0.00072796,0.6065
81,81,1,0.11213,0.6065
101,81,1,0.00058389,0.6065
121,81,1,0.00031569,0.6065
10001,81,1,0.00083675,0.6065
20,101,1,0.00042477,0.6826
40,101,1,0.00035438,0.6826
60,101,1,0.0010187,0.6826
80,101,1,0.00088374,0.6826
100,101,1,0.0081899,0.6826
120,101,1,0.00040028,0.6826
10000,101,1,0.00067495,0.6826
21,101,1,0.00012768,0.6826
41,101,1,0.00010425,0.6826
61,101,1,0.00058717,0.6826
81,101,1,0.0006814,0.6826
101,101,1,0.095878,0.6826
121,101,1,0.00025464,0.6826
10001,101,1,0.00067492,0.6826
20,121,1,0.00071042,0.73458
40,121,1,0.0005927,0.73458
60,121,1,0.0017038,0.73458
80,121,1,0.001478,0.73458
100,121,1,0.0010415,0.73458
120,121,1,0.012461,0.73458
10000,121,1,0.0011289,0.73458
21,121,1,0.00021355,0.73458
41,121,1,0.00017436,0.73458
61,121,1,0.00098205,0.73458
81,121,1,0.0011396,0.73458
101,121,1,0.00078768,0.73458
121,121,1,0.12419,0.73458
10001,121,1,0.0011288,0.73458
20,10001,1,5.5968e-08,0.68318
40,10001,1,4.6694e-08,0.68318
60,10001,1,1.3423e-07,0.68318
80,10001,1,1.1644e-07,0.68318
100,10001,1,8.2048e-08,0.68318
120,10001,1,5.2741e-08,0.68318
10000,10001,1,1.1997e-06,0.68318
21,10001,1,1.6824e-08,0.68318
41,10001,1,1.3737e-08,0.68318
61,10001,1,7.7367e-08,0.68318
81,10001,1,8.9782e-08,0.68318
101,10001,1,6.2055e-08,0.68318
121,10001,1,3.3551e-08,0.68318
10001,10001,1,1.827e-05,0.68318
20,20,2,0.106,0.18626
40,20,2,0.0036919,0.18626
60,20,2,0.026771,0.18626
80,20,2,0.066162,0.18626
100,20,2,0.091464,0.18626
120,20,2,0.099422,0.18626
10000,20,2,0.10321,0.18626
21,20,2,0.0043005,0.18626
41,20,2,0.0011564,0.18626
61,20,2,0.015618,0.18626
81,20,2,0.052706,0.18626
101,20,2,0.071052,0.18626
121,20,2,0.06393,0.18626
10001,20,2,0.1032,0.18626
20,40,2,0.0011288,0.35794
40,40,2,0.21442,0.35794
60,40,2,0.039686,0.35794
80,40,2,0.09808,0.35794
100,40,2,0.13559,0.35794
120,40,2,0.14739,0.35794
10000,40,2,0.153,0.35794
21,40,2,0.00038509,0.35794
41,40,2,0.0095523,0.35794
61,40,2,0.023152,0.35794
81,40,2,0.078133,0.35794
101,40,2,0.10533,0.35794
121,40,2,0.094772,0.35794
10001,40,2,0.15299,0.35794
20,60,2,0.00011015,0.47155
40,60,2,0.00053408,0.47155
60,60,2,0.089954,0.47155
80,60,2,0.0095711,0.47155
100,60,2,0.013231,0.47155
120,60,2,0.014383,0.47155
10000,60,2,0.01493,0.47155
21,60,2,3.7579e-05,0.47155
41,60,2,0.00016729,0.47155
61,60,2,0.0084785,0.47155
81,60,2,0.0076246,0.47155
101,60,2,0.010279,0.47155
121,60,2,0.0092483,0.47155
10001,60,2,0.014929,0.47155
20,80,2,3.5054e-05,0.60023
40,80,2,0.00016996,0.60023
60,80,2,0.0012324,0.60023
80,80,2,0.044745,0.60023
100,80,2,0.0042105,0.60023
120,80,2,0.0045769,0.60023
10000,80,2,0.0047511,0.60023
21,80,2,1.1959e-05,0.60023
41,80,2,5.3234e-05,0.60023
61,80,2,0.00071895,0.60023
81,80,2,0.0065132,0.60023
101,80,2,0.0032709,0.60023
121,80,2,0.002943,0.60023
10001,80,2,0.0047509,0.60023
20,100,2,3.9591e-05,0.67793
40,100,2,0.00019196,0.67793
60,100,2,0.0013919,0.67793
80,100,2,0.00344,0.67793
100,100,2,0.055863,0.67793
120,100,2,0.0051694,0.67793
10000,100,2,0.0053661,0.67793
21,100,2,1.3507e-05,0.67793
41,100,2,6.0125e-05,0.67793
61,100,2,0.00081202,0.67793
81,100,2,0.0027404,0.67793
101,100,2,0.0086004,0.67793
121,100,2,0.003324,0.67793
10001,100,2,0.0053659,0.67793
20,120,2,8.5603e-05,0.73289
40,120,2,0.00041504,0.73289
60,120,2,0.0030096,0.73289
80,120,2,0.0074379,0.73289
100,120,2,0.010282,0.73289
120,120,2,0.11413,0.73289
10000,120,2,0.011602,0.73289
21,120,2,2.9203e-05,0.73289
41,120,2,0.00013,0.73289
61,120,2,0.0017557,0.73289
81,120,2,0.0059252,0.73289
101,120,2,0.0079877,0.73289
121,120,2,0.015414,0.73289
10001,120,2,0.011602,0.73289
20,10000,2,5.2665e-09,0.68318
40,10000,2,2.5535e-08,0.68318
60,10000,2,1.8516e-07,0.68318
80,10000,2,4.576e-07,0.68318
100,10000,2,6.326e-07,0.68318
120,10000,2,6.8764e-07,0.68318
10000,10000,2,8.2872e-06,0.68318
21,10000,2,1.7967e-09,0.68318
41,10000,2,7.998e-09,0.68318
61,10000,2,1.0802e-07,0.68318
81,10000,2,3.6453e-07,0.68318
