utterance,meaning,valence,probability,affect_prior
50,50,1,0.51277,0.3
500,50,1,0.058208,0.3
1000,50,1,0.060008,0.3
5000,50,1,0.055402,0.3
10000,50,1,0.039561,0.3
51,50,1,0.10624,0.3
501,50,1,0.052079,0.3
1001,50,1,0.055003,0.3
5001,50,1,0.05047,0.3
10001,50,1,0.037422,0.3
50,500,1,0.023767,0.5
500,500,1,0.32444,0.5
1000,500,1,0.024323,0.5
5000,500,1,0.022456,0.5
10000,500,1,0.016035,0.5
51,500,1,0.020039,0.5
501,500,1,0.063493,0.5
1001,500,1,0.022294,0.5
5001,500,1,0.020457,0.5
10001,500,1,0.015168,0.5
50,1000,1,0.011417,0.6
500,1000,1,0.011334,0.6
1000,1000,1,0.2196,0.6
5000,1000,1,0.010787,0.6
10000,1000,1,0.007703,0.6
51,1000,1,0.0096264,0.6
501,1000,1,0.01014,0.6
1001,1000,1,0.041143,0.6
5001,1000,1,0.0098271,0.6
10001,1000,1,0.0072864,0.6
50,5000,1,0.0045249,0.7
500,5000,1,0.0044918,0.7
1000,5000,1,0.0046307,0.7
5000,5000,1,0.122,0.7
10000,5000,1,0.0030528,0.7
51,5000,1,0.0038151,0.7
501,5000,1,0.0040188,0.7
1001,5000,1,0.0042444,0.7
5001,5000,1,0.020193,0.7
10001,5000,1,0.0028877,0.7
50,10000,1,0.001536,0.8
500,10000,1,0.0015248,0.8
1000,10000,1,0.0015719,0.8
5000,10000,1,0.0014513,0.8
10000,10000,1,0.053356,0.8
51,10000,1,0.0012951,0.8
501,10000,1,0.0013642,0.8
1001,10000,1,0.0014408,0.8
5001,10000,1,0.0013221,0.8
10001,10000,1,0.0086533,0.8
50,51,1,0.147,0.3
500,51,1,0.061356,0.3
1000,51,1,0.063254,0.3
5000,51,1,0.058398,0.3
10000,51,1,0.041701,0.3
51,51,1,0.55984,0.3
501,51,1,0.054896,0.3
1001,51,1,0.057978,0.3
5001,51,1,0.0532,0.3
10001,51,1,0.039446,0.3
50,501,1,0.022306,0.5
500,501,1,0.070349,0.5
1000,501,1,0.022827,0.5
5000,501,1,0.021075,0.5
10000,501,1,0.015049,0.5
51,501,1,0.018807,0.5
501,501,1,0.34238,0.5
1001,501,1,0.020923,0.5
5001,501,1,0.019199,0.5
10001,501,1,0.014235,0.5
50,1001,1,0.010421,0.6
500,1001,1,0.010345,0.6
1000,1001,1,0.04274,0.6
5000,1001,1,0.0098465,0.6
10000,1001,1,0.0070311,0.6
51,1001,1,0.0087868,0.6
501,1001,1,0.009256,0.6
1001,1001,1,0.23268,0.6
5001,1001,1,0.00897,0.6
10001,1001,1,0.0066509,0.6
50,5001,1,0.0045521,0.7
500,5001,1,0.0045188,0.7
1000,5001,1,0.0046585,0.7
5000,5001,1,0.025034,0.7
10000,5001,1,0.0030712,0.7
51,5001,1,0.0038381,0.7
501,5001,1,0.004043,0.7
1001,5001,1,0.00427,0.7
5001,5001,1,0.14046,0.7
10001,5001,1,0.0029051,0.7
50,10001,1,0.0014861,0.8
500,10001,1,0.0014752,0.8
1000,10001,1,0.0015208,0.8
5000,10001,1,0.0014041,0.8
10000,10001,1,0.0097404,0.8
51,10001,1,0.001253,0.8
501,10001,1,0.0013199,0.8
1001,10001,1,0.001394,0.8
5001,10001,1,0.0012791,0.8
10001,10001,1,0.061847,0.8
50,50,2,0.19909,0.3
500,50,2,0.015794,0.3
1000,50,2,0.029913,0.3
5000,50,2,0.05358,0.3
10000,50,2,0.085876,0.3
51,50,2,0.028107,0.3
501,50,2,0.014131,0.3
1001,50,2,0.027418,0.3
5001,50,2,0.048811,0.3
10001,50,2,0.081232,0.3
50,500,2,0.0042218,0.5
500,500,2,0.31579,0.5
1000,500,2,0.02829,0.5
5000,500,2,0.050673,0.5
10000,500,2,0.081218,0.5
51,500,2,0.0035596,0.5
501,500,2,0.055749,0.5
1001,500,2,0.025931,0.5
5001,500,2,0.046163,0.5
10001,500,2,0.076825,0.5
50,1000,2,0.0030421,0.6
500,1000,2,0.010764,0.6
1000,1000,2,0.33226,0.6
5000,1000,2,0.036514,0.6
10000,1000,2,0.058524,0.6
51,1000,2,0.002565,0.6
501,1000,2,0.0096303,0.6
1001,1000,2,0.064335,0.6
5001,1000,2,0.033264,0.6
10001,1000,2,0.055359,0.6
50,5000,2,0.0018755,0.7
500,5000,2,0.0066357,0.7
1000,5000,2,0.012567,0.7
5000,5000,2,0.29721,0.7
10000,5000,2,0.036079,0.7
51,5000,2,0.0015813,0.7
501,5000,2,0.005937,0.7
1001,5000,2,0.011519,0.7
5001,5000,2,0.058536,0.7
10001,5000,2,0.034128,0.7
50,10000,2,0.0010914,0.8
500,10000,2,0.0038615,0.8
1000,10000,2,0.0073135,0.8
5000,10000,2,0.0131,0.8
10000,10000,2,0.23028,0.8
51,10000,2,0.0009202,0.8
501,10000,2,0.0034549,0.8
1001,10000,2,0.0067034,0.8
5001,10000,2,0.011934,0.8
10001,10000,2,0.050553,0.8
50,51,2,0.041217,0.3
500,51,2,0.016648,0.3
1000,51,2,0.031531,0.3
5000,51,2,0.056478,0.3
10000,51,2,0.090521,0.3
51,51,2,0.22156,0.3
501,51,2,0.014896,0.3
1001,51,2,0.028901,0.3
5001,51,2,0.051451,0.3
10001,51,2,0.085626,0.3
50,501,2,0.0039623,0.5
500,501,2,0.062226,0.5
1000,501,2,0.026551,0.5
5000,501,2,0.047558,0.5
10000,501,2,0.076224,0.5
51,501,2,0.0033407,0.5
501,501,2,0.33511,0.5
1001,501,2,0.024336,0.5
5001,501,2,0.043325,0.5
10001,501,2,0.072102,0.5
50,1001,2,0.0027768,0.6
500,1001,2,0.0098248,0.6
1000,1001,2,0.066719,0.6
5000,1001,2,0.03333,0.6
10000,1001,2,0.053419,0.6
51,1001,2,0.0023412,0.6
501,1001,2,0.0087903,0.6
1001,1001,2,0.35141,0.6
5001,1001,2,0.030363,0.6
10001,1001,2,0.05053,0.6
50,5001,2,0.0018868,0.7
500,5001,2,0.0066756,0.7
1000,5001,2,0.012643,0.7
5000,5001,2,0.071024,0.7
10000,5001,2,0.036297,0.7
51,5001,2,0.0015908,0.7
501,5001,2,0.0059727,0.7
1001,5001,2,0.011589,0.7
5001,5001,2,0.33923,0.7
10001,5001,2,0.034334,0.7
50,10001,2,0.0010559,0.8
500,10001,2,0.0037359,0.8
1000,10001,2,0.0070756,0.8
5000,10001,2,0.012674,0.8
10000,10001,2,0.055264,0.8
51,10001,2,0.00089027,0.8
501,10001,2,0.0033426,0.8
1001,10001,2,0.0064854,0.8
5001,10001,2,0.011546,0.8
10001,10001,2,0.26281,0.8
