utterance,meaning,valence,probability,affect_prior
50,50,1,0.52289,0.37343
500,50,1,0.064213,0.37343
1000,50,1,0.10727,0.37343
5000,50,1,0.10727,0.37343
10000,50,1,0.12426,0.37343
51,50,1,0.11318,0.37343
501,50,1,0.053183,0.37343
1001,50,1,0.10245,0.37343
5001,50,1,0.10245,0.37343
10001,50,1,0.1238,0.37343
50,500,1,0.0074426,0.74405
500,500,1,0.14898,0.74405
1000,500,1,0.0086254,0.74405
5000,500,1,0.0086254,0.74405
10000,500,1,0.009992,0.74405
51,500,1,0.0059335,0.74405
501,500,1,0.017934,0.74405
1001,500,1,0.0082384,0.74405
5001,500,1,0.0082384,0.74405
10001,500,1,0.0099548,0.74405
50,1000,1,0.0005525,0.79135
500,1000,1,0.00038331,0.79135
1000,1000,1,0.027461,0.79135
5000,1000,1,0.0006403,0.79135
10000,1000,1,0.00074176,0.79135
51,1000,1,0.00044047,0.79135
501,1000,1,0.00031746,0.79135
1001,1000,1,0.0035437,0.79135
5001,1000,1,0.00061157,0.79135
10001,1000,1,0.00073899,0.79135
50,5000,1,0.0005525,0.79135
500,5000,1,0.00038331,0.79135
1000,5000,1,0.0006403,0.79135
5000,5000,1,0.027461,0.79135
10000,5000,1,0.00074176,0.79135
51,5000,1,0.00044047,0.79135
501,5000,1,0.00031746,0.79135
1001,5000,1,0.00061157,0.79135
5001,5000,1,0.0035437,0.79135
10001,5000,1,0.00073899,0.79135
50,10000,1,3.7994e-05,0.79135
500,10000,1,2.6359e-05,0.79135
1000,10000,1,4.4032e-05,0.79135
5000,10000,1,4.4032e-05,0.79135
10000,10000,1,0.0021876,0.79135
51,10000,1,3.029e-05,0.79135
501,10000,1,2.1831e-05,0.79135
1001,10000,1,4.2056e-05,0.79135
5001,10000,1,4.2056e-05,0.79135
10001,10000,1,0.00029446,0.79135
50,51,1,0.15353,0.375
500,51,1,0.064053,0.375
1000,51,1,0.107,0.375
5000,51,1,0.107,0.375
10000,51,1,0.12395,0.375
51,51,1,0.552,0.375
501,51,1,0.05305,0.375
1001,51,1,0.1022,0.375
5001,51,1,0.1022,0.375
10001,51,1,0.12349,0.375
50,501,1,0.0074317,0.74442
500,501,1,0.025631,0.74442
1000,501,1,0.0086128,0.74442
5000,501,1,0.0086128,0.74442
10000,501,1,0.0099774,0.74442
51,501,1,0.0059248,0.74442
501,501,1,0.17031,0.74442
1001,501,1,0.0082263,0.74442
5001,501,1,0.0082263,0.74442
10001,501,1,0.0099402,0.74442
50,1001,1,0.0005525,0.79135
500,1001,1,0.00038331,0.79135
1000,1001,1,0.0044646,0.79135
5000,1001,1,0.0006403,0.79135
10000,1001,1,0.00074176,0.79135
51,1001,1,0.00044047,0.79135
501,1001,1,0.00031746,0.79135
1001,1001,1,0.036312,0.79135
5001,1001,1,0.00061157,0.79135
10001,1001,1,0.00073899,0.79135
