utterance,meaning,valence,probability,affect_prior
20,20,1,0.46959,0.36846
50,20,1,0.024673,0.36846
100,20,1,0.030563,0.36846
200,20,1,0.069448,0.36846
500,20,1,0.031352,0.36846
1000,20,1,0.023933,0.36846
2000,20,1,0.023933,0.36846
10000,20,1,0.028289,0.36846
21,20,1,0.080542,0.36846
51,20,1,0.024606,0.36846
101,20,1,0.03048,0.36846
201,20,1,0.069285,0.36846
501,20,1,0.031296,0.36846
1001,20,1,0.023933,0.36846
2001,20,1,0.023933,0.36846
10001,20,1,0.028289,0.36846
20,50,1,0.045903,0.37343
50,50,1,0.50012,0.37343
100,50,1,0.042687,0.37343
200,50,1,0.096997,0.37343
500,50,1,0.043789,0.37343
1000,50,1,0.033427,0.37343
2000,50,1,0.033427,0.37343
10000,50,1,0.03951,0.37343
21,50,1,0.045903,0.37343
51,50,1,0.085223,0.37343
101,50,1,0.042572,0.37343
201,50,1,0.09677,0.37343
501,50,1,0.04371,0.37343
1001,50,1,0.033427,0.37343
2001,50,1,0.033427,0.37343
10001,50,1,0.03951,0.37343
20,100,1,0.023226,0.44981
50,100,1,0.017437,0.44981
100,100,1,0.40012,0.44981
200,100,1,0.049079,0.44981
500,100,1,0.022156,0.44981
1000,100,1,0.016914,0.44981
2000,100,1,0.016914,0.44981
10000,100,1,0.019992,0.44981
21,100,1,0.023226,0.44981
51,100,1,0.017389,0.44981
101,100,1,0.062883,0.44981
201,100,1,0.048964,0.44981
501,100,1,0.022117,0.44981
1001,100,1,0.016914,0.44981
2001,100,1,0.016914,0.44981
10001,100,1,0.019992,0.44981
20,200,1,0.0018785,0.57377
50,200,1,0.0014103,0.57377
100,200,1,0.0017469,0.57377
200,200,1,0.11988,0.57377
500,200,1,0.001792,0.57377
1000,200,1,0.001368,0.57377
2000,200,1,0.001368,0.57377
10000,200,1,0.0016169,0.57377
21,200,1,0.0018785,0.57377
51,200,1,0.0014064,0.57377
101,200,1,0.0017422,0.57377
201,200,1,0.016624,0.57377
501,200,1,0.0017888,0.57377
1001,200,1,0.001368,0.57377
2001,200,1,0.001368,0.57377
10001,200,1,0.0016169,0.57377
20,500,1,0.00079407,0.74405
50,500,1,0.00059614,0.74405
100,500,1,0.00073844,0.74405
200,500,1,0.0016779,0.74405
500,500,1,0.062073,0.74405
1000,500,1,0.00057826,0.74405
2000,500,1,0.00057826,0.74405
10000,500,1,0.00068349,0.74405
21,500,1,0.00079407,0.74405
51,500,1,0.00059452,0.74405
101,500,1,0.00073645,0.74405
201,500,1,0.001674,0.74405
501,500,1,0.0074501,0.74405
1001,500,1,0.00057826,0.74405
2001,500,1,0.00057826,0.74405
10001,500,1,0.00068349,0.74405
20,1000,1,0.00032672,0.79135
50,1000,1,0.00024528,0.79135
100,1000,1,0.00030383,0.79135
200,1000,1,0.00069039,0.79135
500,1000,1,0.00031167,0.79135
1000,1000,1,0.029203,0.79135
2000,1000,1,0.00023792,0.79135
10000,1000,1,0.00028122,0.79135
21,1000,1,0.00032672,0.79135
51,1000,1,0.00024461,0.79135
101,1000,1,0.00030301,0.79135
201,1000,1,0.00068877,0.79135
501,1000,1,0.00031111,0.79135
1001,1000,1,0.0034,0.79135
2001,1000,1,0.00023792,0.79135
10001,1000,1,0.00028122,0.79135
20,2000,1,0.00032672,0.79135
50,2000,1,0.00024528,0.79135
100,2000,1,0.00030383,0.79135
200,2000,1,0.00069039,0.79135
500,2000,1,0.00031167,0.79135
1000,2000,1,0.00023792,0.79135
2000,2000,1,0.029203,0.79135
10000,2000,1,0.00028122,0.79135
21,2000,1,0.00032672,0.79135
51,2000,1,0.00024461,0.79135
101,2000,1,0.00030301,0.79135
201,2000,1,0.00068877,0.79135
501,2000,1,0.00031111,0.79135
1001,2000,1,0.00023792,0.79135
2001,2000,1,0.0034,0.79135
10001,2000,1,0.00028122,0.79135
20,10000,1,3.7172e-08,0.79135
50,10000,1,2.7907e-08,0.79135
100,10000,1,3.4568e-08,0.79135
200,10000,1,7.8549e-08,0.79135
500,10000,1,3.546e-08,0.79135
1000,10000,1,2.707e-08,0.79135
2000,10000,1,2.707e-08,0.79135
10000,10000,1,3.9272e-06,0.79135
21,10000,1,3.7172e-08,0.79135
51,10000,1,2.7831e-08,0.79135
101,10000,1,3.4475e-08,0.79135
201,10000,1,7.8365e-08,0.79135
501,10000,1,3.5397e-08,0.79135
1001,10000,1,2.707e-08,0.79135
2001,10000,1,2.707e-08,0.79135
10001,10000,1,4.5723e-07,0.79135
20,21,1,0.080542,0.36846
50,21,1,0.024673,0.36846
100,21,1,0.030563,0.36846
200,21,1,0.069448,0.36846
500,21,1,0.031352,0.36846
1000,21,1,0.023933,0.36846
2000,21,1,0.023933,0.36846
10000,21,1,0.028289,0.36846
21,21,1,0.46959,0.36846
51,21,1,0.024606,0.36846
101,21,1,0.03048,0.36846
201,21,1,0.069285,0.36846
501,21,1,0.031296,0.36846
1001,21,1,0.023933,0.36846
2001,21,1,0.023933,0.36846
10001,21,1,0.028289,0.36846
20,51,1,0.045788,0.375
50,51,1,0.085083,0.375
100,51,1,0.04258,0.375
200,51,1,0.096754,0.375
500,51,1,0.043679,0.375
1000,51,1,0.033344,0.375
2000,51,1,0.033344,0.375
10000,51,1,0.039412,0.375
21,51,1,0.045788,0.375
51,51,1,0.49896,0.375
101,51,1,0.042465,0.375
201,51,1,0.096528,0.375
501,51,1,0.043601,0.375
1001,51,1,0.033344,0.375
2001,51,1,0.033344,0.375
10001,51,1,0.039412,0.375
20,101,1,0.023167,0.4512
50,101,1,0.017393,0.4512
100,101,1,0.062762,0.4512
200,101,1,0.048955,0.4512
500,101,1,0.0221,0.4512
1000,101,1,0.016871,0.4512
2000,101,1,0.016871,0.4512
10000,101,1,0.019941,0.4512
21,101,1,0.023167,0.4512
51,101,1,0.017345,0.4512
101,101,1,0.39922,0.4512
201,101,1,0.04884,0.4512
501,101,1,0.022061,0.4512
1001,101,1,0.016871,0.4512
2001,101,1,0.016871,0.4512
10001,101,1,0.019941,0.4512
20,201,1,0.0018738,0.57484
50,201,1,0.0014067,0.57484
100,201,1,0.0017425,0.57484
200,201,1,0.016581,0.57484
500,201,1,0.0017875,0.57484
1000,201,1,0.0013645,0.57484
2000,201,1,0.0013645,0.57484
10000,201,1,0.0016128,0.57484
21,201,1,0.0018738,0.57484
51,201,1,0.0014029,0.57484
101,201,1,0.0017378,0.57484
201,201,1,0.11966,0.57484
501,201,1,0.0017843,0.57484
1001,201,1,0.0013645,0.57484
2001,201,1,0.0013645,0.57484
10001,201,1,0.0016128,0.57484
20,501,1,0.0007929,0.74442
50,501,1,0.00059526,0.74442
100,501,1,0.00073736,0.74442
200,501,1,0.0016755,0.74442
500,501,1,0.0074404,0.74442
1000,501,1,0.00057741,0.74442
2000,501,1,0.00057741,0.74442
10000,501,1,0.00068249,0.74442
21,501,1,0.0007929,0.74442
51,501,1,0.00059365,0.74442
101,501,1,0.00073537,0.74442
201,501,1,0.0016716,0.74442
501,501,1,0.061983,0.74442
1001,501,1,0.00057741,0.74442
2001,501,1,0.00057741,0.74442
10001,501,1,0.00068249,0.74442
20,1001,1,0.00032672,0.79135
50,1001,1,0.00024528,0.79135
100,1001,1,0.00030383,0.79135
200,1001,1,0.00069039,0.79135
500,1001,1,0.00031167,0.79135
1000,1001,1,0.0034,0.79135
2000,1001,1,0.00023792,0.79135
10000,1001,1,0.00028122,0.79135
21,1001,1,0.00032672,0.79135
51,1001,1,0.00024461,0.79135
101,1001,1,0.00030301,0.79135
201,1001,1,0.00068877,0.79135
501,1001,1,0.00031111,0.79135
1001,1001,1,0.029203,0.79135
2001,1001,1,0.00023792,0.79135
10001,1001,1,0.00028122,0.79135
20,2001,1,0.00032672,0.79135
50,2001,1,0.00024528,0.79135
100,2001,1,0.00030383,0.79135
200,2001,1,0.00069039,0.79135
500,2001,1,0.00031167,0.79135
1000,2001,1,0.00023792,0.79135
2000,2001,1,0.0034,0.79135
10000,2001,1,0.00028122,0.79135
21,2001,1,0.00032672,0.79135
51,2001,1,0.00024461,0.79135
101,2001,1,0.00030301,0.79135
201,2001,1,0.00068877,0.79135
501,2001,1,0.00031111,0.79135
1001,2001,1,0.00023792,0.79135
2001,2001,1,0.029203,0.79135
10001,2001,1,0.00028122,0.79135
20,10001,1,3.7172e-08,0.79135
50,10001,1,2.7907e-08,0.79135
100,10001,1,3.4568e-08,0.79135
200,10001,1,7.8549e-08,0.79135
500,10001,1,3.546e-08,0.79135
1000,10001,1,2.707e-08,0.79135
2000,10001,1,2.707e-08,0.79135
10000,10001,1,4.5723e-07,0.79135
21,10001,1,3.7172e-08,0.79135
51,10001,1,2.7831e-08,0.79135
101,10001,1,3.4475e-08,0.79135
201,10001,1,7.8365e-08,0.79135
501,10001,1,3.5397e-08,0.79135
1001,10001,1,2.707e-08,0.79135
2001,10001,1,2.707e-08,0.79135
10001,10001,1,3.9272e-06,0.79135
20,20,2,0.25777,0.36846
50,20,2,0.0023244,0.36846
100,20,2,0.0054156,0.36846
200,20,2,0.033347,0.36846
500,20,2,0.070141,0.36846
1000,20,2,0.091076,0.36846
2000,20,2,0.091076,0.36846
10000,20,2,0.10765,0.36846
21,20,2,0.030776,0.36846
51,20,2,0.0023375,0.36846
101,20,2,0.0054391,0.36846
201,20,2,0.033452,0.36846
501,20,2,0.070187,0.36846
1001,20,2,0.091076,0.36846
2001,20,2,0.091076,0.36846
10001,20,2,0.10765,0.36846
20,50,2,0.0042226,0.37343
50,50,2,0.28084,0.37343
100,50,2,0.0077267,0.37343
200,50,2,0.047577,0.37343
500,50,2,0.10007,0.37343
1000,50,2,0.12994,0.37343
2000,50,2,0.12994,0.37343
10000,50,2,0.15359,0.37343
21,50,2,0.0042226,0.37343
51,50,2,0.033644,0.37343
101,50,2,0.0077601,0.37343
201,50,2,0.047727,0.37343
501,50,2,0.10014,0.37343
1001,50,2,0.12994,0.37343
2001,50,2,0.12994,0.37343
10001,50,2,0.15359,0.37343
20,100,2,0.0029308,0.44981
50,100,2,0.0023018,0.44981
100,100,2,0.31482,0.44981
200,100,2,0.033023,0.44981
500,100,2,0.069459,0.44981
1000,100,2,0.09019,0.44981
2000,100,2,0.09019,0.44981
10000,100,2,0.1066,0.44981
21,100,2,0.0029308,0.44981
51,100,2,0.0023147,0.44981
101,100,2,0.039185,0.44981
201,100,2,0.033127,0.44981
501,100,2,0.069504,0.44981
1001,100,2,0.09019,0.44981
2001,100,2,0.09019,0.44981
10001,100,2,0.1066,0.44981
20,200,2,0.0003903,0.57377
50,200,2,0.00030653,0.57377
100,200,2,0.00071419,0.57377
200,200,2,0.16043,0.57377
500,200,2,0.0092499,0.57377
1000,200,2,0.012011,0.57377
2000,200,2,0.012011,0.57377
10000,200,2,0.014196,0.57377
21,200,2,0.0003903,0.57377
51,200,2,0.00030825,0.57377
101,200,2,0.00071728,0.57377
201,200,2,0.021459,0.57377
501,200,2,0.0092559,0.57377
1001,200,2,0.012011,0.57377
2001,200,2,0.012011,0.57377
10001,200,2,0.014196,0.57377
20,500,2,0.00035629,0.74405
50,500,2,0.00027981,0.74405
100,500,2,0.00065195,0.74405
200,500,2,0.0040144,0.74405
500,500,2,0.18669,0.74405
1000,500,2,0.010964,0.74405
2000,500,2,0.010964,0.74405
10000,500,2,0.012959,0.74405
21,500,2,0.00035629,0.74405
51,500,2,0.00028139,0.74405
101,500,2,0.00065477,0.74405
201,500,2,0.004027,0.74405
501,500,2,0.027909,0.74405
1001,500,2,0.010964,0.74405
2001,500,2,0.010964,0.74405
10001,500,2,0.012959,0.74405
20,1000,2,0.00019126,0.79135
50,1000,2,0.00015021,0.79135
100,1000,2,0.00034998,0.79135
200,1000,2,0.002155,0.79135
500,1000,2,0.0045327,0.79135
1000,1000,2,0.11574,0.79135
2000,1000,2,0.0058856,0.79135
10000,1000,2,0.0069567,0.79135
21,1000,2,0.00019126,0.79135
51,1000,2,0.00015105,0.79135
101,1000,2,0.00035149,0.79135
201,1000,2,0.0021618,0.79135
501,1000,2,0.0045357,0.79135
1001,1000,2,0.017878,0.79135
2001,1000,2,0.0058856,0.79135
10001,1000,2,0.0069567,0.79135
20,2000,2,0.00019126,0.79135
50,2000,2,0.00015021,0.79135
100,2000,2,0.00034998,0.79135
200,2000,2,0.002155,0.79135
