utterance,meaning,valence,probability,affect_prior
70,70,1,NaN+NaNi,0.37653
200,70,1,NaN+NaNi,0.37653
330,70,1,NaN+NaNi,0.37653
460,70,1,NaN+NaNi,0.37653
600,70,1,NaN+NaNi,0.37653
730,70,1,NaN+NaNi,0.37653
10000,70,1,NaN+NaNi,0.37653
71,70,1,NaN+NaNi,0.37653
201,70,1,NaN+NaNi,0.37653
331,70,1,NaN+NaNi,0.37653
461,70,1,NaN+NaNi,0.37653
601,70,1,NaN+NaNi,0.37653
731,70,1,NaN+NaNi,0.37653
10001,70,1,NaN+NaNi,0.37653
70,200,1,NaN+NaNi,0.60294
200,200,1,NaN+NaNi,0.60294
330,200,1,NaN+NaNi,0.60294
460,200,1,NaN+NaNi,0.60294
600,200,1,NaN+NaNi,0.60294
730,200,1,NaN+NaNi,0.60294
10000,200,1,NaN+NaNi,0.60294
71,200,1,NaN+NaNi,0.60294
201,200,1,NaN+NaNi,0.60294
331,200,1,NaN+NaNi,0.60294
461,200,1,NaN+NaNi,0.60294
601,200,1,NaN+NaNi,0.60294
731,200,1,NaN+NaNi,0.60294
10001,200,1,NaN+NaNi,0.60294
70,330,1,NaN+NaNi,0.66474
200,330,1,NaN+NaNi,0.66474
330,330,1,NaN+NaNi,0.66474
460,330,1,NaN+NaNi,0.66474
600,330,1,NaN+NaNi,0.66474
730,330,1,NaN+NaNi,0.66474
10000,330,1,NaN+NaNi,0.66474
71,330,1,NaN+NaNi,0.66474
201,330,1,NaN+NaNi,0.66474
331,330,1,NaN+NaNi,0.66474
461,330,1,NaN+NaNi,0.66474
601,330,1,NaN+NaNi,0.66474
731,330,1,NaN+NaNi,0.66474
10001,330,1,NaN+NaNi,0.66474
70,460,1,NaN+NaNi,0.73539
200,460,1,NaN+NaNi,0.73539
330,460,1,NaN+NaNi,0.73539
460,460,1,NaN+NaNi,0.73539
600,460,1,NaN+NaNi,0.73539
730,460,1,NaN+NaNi,0.73539
10000,460,1,NaN+NaNi,0.73539
71,460,1,NaN+NaNi,0.73539
201,460,1,NaN+NaNi,0.73539
331,460,1,NaN+NaNi,0.73539
461,460,1,NaN+NaNi,0.73539
601,460,1,NaN+NaNi,0.73539
731,460,1,NaN+NaNi,0.73539
10001,460,1,NaN+NaNi,0.73539
70,600,1,NaN+NaNi,0.76469
200,600,1,NaN+NaNi,0.76469
330,600,1,NaN+NaNi,0.76469
460,600,1,NaN+NaNi,0.76469
600,600,1,NaN+NaNi,0.76469
730,600,1,NaN+NaNi,0.76469
10000,600,1,NaN+NaNi,0.76469
71,600,1,NaN+NaNi,0.76469
201,600,1,NaN+NaNi,0.76469
331,600,1,NaN+NaNi,0.76469
461,600,1,NaN+NaNi,0.76469
601,600,1,NaN+NaNi,0.76469
731,600,1,NaN+NaNi,0.76469
10001,600,1,NaN+NaNi,0.76469
70,730,1,NaN+NaNi,0.79791
200,730,1,NaN+NaNi,0.79791
330,730,1,NaN+NaNi,0.79791
460,730,1,NaN+NaNi,0.79791
600,730,1,NaN+NaNi,0.79791
730,730,1,NaN+NaNi,0.79791
10000,730,1,NaN+NaNi,0.79791
71,730,1,NaN+NaNi,0.79791
201,730,1,NaN+NaNi,0.79791
331,730,1,NaN+NaNi,0.79791
461,730,1,NaN+NaNi,0.79791
