"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.domains"	"Answer.income"	"Answer.inferredPrices0"	"Answer.inferredPrices3"	"Answer.inferredPrices4"	"Answer.inferredPrices1"	"Answer.inferredPrices2"	"Answer.inferredPrices7"	"Answer.inferredPrices8"	"Answer.inferredPrices5"	"Answer.inferredPrices6"	"Answer.inferredPrices9"	"Answer.buyers"	"Answer.comments"	"Answer.age"	"Answer.gender"	"Answer.condition"	"Answer.nativeLanguage"	"Answer.orders"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2LDYHVI44OS2EYKD9S5ZYBAUPBFY4C"	"A1KN3TP3P2NJHC"	"Approved"	"Wed Oct 16 05:19:16 PDT 2013"	"Tue Oct 15 12:36:42 PDT 2013"	"Tue Oct 15 12:39:16 PDT 2013"	"Tue Oct 15 17:37:21 PDT 2013"	""	""	""	""	"[""laptop"",""watch"",""electric kettle""]"	"""4"""	"[0,1,1]"	"[1,1,0]"	"[1,1,0]"	"[0,1,1]"	"[1,1,0]"	"[0.45,1,0]"	"[0,1,0]"	"[1,1,0]"	"[0.45,1,0]"	"[0,1,0]"	"[""Alex"",""Bob"",""Calvin""]"	"""Thanks!  Clear and to the point.  No 75 radio buttons to fill in."""	"""65"""	"""F"""	"3"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2MGK2JE1M7PKEMBWSBFZGC095ZCPWW"	"A3DZ46U9XRLVBI"	"Approved"	"Wed Oct 16 05:21:16 PDT 2013"	"Tue Oct 15 12:39:03 PDT 2013"	"Tue Oct 15 12:41:16 PDT 2013"	"Tue Oct 15 17:37:19 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""8"""	"[0.975,0.975,0]"	"[0.325,0.05,0.7]"	"[0.25,0,0.8]"	"[0.8,1,0]"	"[0.325,0.05,0.7]"	"[0.125,0,0]"	"[0.075,0,0]"	"[0.25,0,0.8]"	"[0.1,0,0]"	"[0.075,0,0]"	"[""Calvin"",""Alex"",""Bob""]"	""""""	"""35"""	"""F"""	"1"	"""english"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24PFCD45XCETHQISPP9N9TGUO0PXZI"	"A3AJR1PM02424Y"	"Approved"	"Wed Oct 16 05:21:26 PDT 2013"	"Tue Oct 15 12:39:15 PDT 2013"	"Tue Oct 15 12:41:26 PDT 2013"	"Tue Oct 15 17:37:22 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""4"""	"[1,1,0.1]"	"[0.75,0.25,0.6]"	"[0.575,0.125,0.75]"	"[1,1,0.1]"	"[0.75,0.25,0.625]"	"[0.3,0.05,0.775]"	"[0.225,0,0.15]"	"[0.575,0.15,0.75]"	"[0.3,0.05,0.75]"	"[0.225,0,0.175]"	"[""Calvin"",""Alex"",""Bob""]"	"""thank you!"""	"""35"""	"""F"""	"1"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2GGQ1SNQQ7Q61DV6MP3NX12YACH8SH"	"A1XAOEDK0Y2KBT"	"Approved"	"Wed Oct 16 05:21:40 PDT 2013"	"Tue Oct 15 12:39:59 PDT 2013"	"Tue Oct 15 12:41:40 PDT 2013"	"Tue Oct 15 17:37:20 PDT 2013"	""	""	""	""	"[""laptop"",""watch"",""electric kettle""]"	"""8"""	"[0,0.975,1]"	"[0.275,0.75,0.275]"	"[0.975,0.5,0.025]"	"[0,0.95,0.975]"	"[0.275,0.775,0.25]"	"[0.275,0.225,0.025]"	"[0.025,0.225,0.025]"	"[0.725,0.5,0.025]"	"[0.275,0.25,0]"	"[0.05,0.2,0]"	"[""Calvin"",""Alex"",""Bob""]"	""""""	"""45"""	"""M"""	"2"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2A7K0COK2JE1GKFPGECR26O4UCGLSG"	"A195WB6MMIHUL7"	"Approved"	"Wed Oct 16 05:21:58 PDT 2013"	"Tue Oct 15 12:39:33 PDT 2013"	"Tue Oct 15 12:41:58 PDT 2013"	"Tue Oct 15 17:37:22 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""6"""	"[0.675,1,0]"	"[0.425,0.125,1]"	"[0.175,0,1]"	"[0.75,1,0]"	"[0.5,0.15,1]"	"[0.125,0,0.05]"	"[0,0,0]"	"[0.125,0,0.25]"	"[0.1,0,0.05]"	"[0,0,0]"	"[""Bob"",""Calvin"",""Alex""]"	""""""	"""17"""	"""F"""	"3"	"""english"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"23VDHJHP4BDDETU34WJXFX3LN5OX48"	"A14PFRHG0A2YY9"	"Approved"	"Wed Oct 16 05:31:11 PDT 2013"	"Tue Oct 15 12:47:46 PDT 2013"	"Tue Oct 15 12:51:11 PDT 2013"	"Tue Oct 15 17:37:21 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""4"""	"[1,1,0.125]"	"[0.3,0,0.875]"	"[0.3,0,0.875]"	"[1,1,0.125]"	"[0.3,0,0.875]"	"[0.15,0,0]"	"[0.025,0,0]"	"[0.3,0,0.875]"	"[0.15,0,0]"	"[0.025,0,0]"	"[""Calvin"",""Alex"",""Bob""]"	"""n/a"""	"""55"""	"""M"""	"1"	"""english"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"28XCOW0LGRZ32PHKHHXVTUZ1XRGZ8C"	"A26QHAE41IXQNX"	"Approved"	"Wed Oct 16 05:46:43 PDT 2013"	"Tue Oct 15 12:36:46 PDT 2013"	"Tue Oct 15 13:06:43 PDT 2013"	"Tue Oct 15 17:37:20 PDT 2013"	""	""	""	""	"[""laptop"",""watch"",""electric kettle""]"	"""6"""	"[0,0.975,0.975]"	"[0.675,1,0]"	"[0.9,1,0]"	"[0,1,0.95]"	"[0.725,1,0]"	"[0.25,0.75,0]"	"[0,0.175,0]"	"[0.95,1,0]"	"[0.225,0.75,0]"	"[0,0.2,0]"	"[""Alex"",""Bob"",""Calvin""]"	"""It was short! :)  But fun."""	"""35"""	"""F"""	"3"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2A7K0COK2JE1GKFPGECR26O4UCQLSQ"	"A2V0ADROWMC2ZM"	"Approved"	"Wed Oct 16 06:23:17 PDT 2013"	"Tue Oct 15 13:39:11 PDT 2013"	"Tue Oct 15 13:43:17 PDT 2013"	"Tue Oct 15 17:37:20 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""6"""	"[0.725,0.975,0]"	"[0.25,0.025,0.775]"	"[0.125,0.025,0.825]"	"[0.75,0.975,0.025]"	"[0.225,0,0.75]"	"[0.025,0.025,0.075]"	"[0.025,0.025,0]"	"[0.15,0,0.875]"	"[0.025,0,0.075]"	"[0,0,0.025]"	"[""Bob"",""Calvin"",""Alex""]"	"""N/A"""	"""65"""	"""F"""	"3"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2IBHSTLB3L0F5WZNKGAEPRE0Y5JIUR"	"A2SYRFPPV9WDEG"	"Approved"	"Wed Oct 16 06:28:11 PDT 2013"	"Tue Oct 15 13:47:08 PDT 2013"	"Tue Oct 15 13:48:11 PDT 2013"	"Tue Oct 15 17:37:21 PDT 2013"	""	""	""	""	"[""laptop"",""watch"",""electric kettle""]"	"""4"""	"[0.075,0.575,0.9]"	"[0.775,0.5,0.2]"	"[0.775,0.4,0.075]"	"[0.1,0.625,0.925]"	"[0.75,0.575,0.325]"	"[0.025,0.05,0.025]"	"[0.025,0.05,0.025]"	"[0.7,0.375,0.025]"	"[0.025,0.075,0.025]"	"[0.025,0.05,0.025]"	"[""Bob"",""Calvin"",""Alex""]"	"""N/A"""	"""35"""	"""M"""	"1"	"""English"""	"[1,2,3]"
"2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"24YF3Q0JG5TYG021UGV9L9SSSWBEI7"	"Guess the price!"	"Read about various items and guess the prices. This should take 3-5 minutes."	"prices,language,survey,psychology,estimate,experiment"	"$0.20"	"Tue Oct 15 12:33:56 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Wed Oct 16 05:13:56 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2IG7QEOZFYQSVPIYIT6XXDS67S7GJE"	"2QXTYMNCWYB43SZXOX8X71JT7SNPLI"	"ATJ8M4UR7NGIJ"	"Approved"	"Wed Oct 16 06:42:06 PDT 2013"	"Tue Oct 15 14:00:06 PDT 2013"	"Tue Oct 15 14:02:06 PDT 2013"	"Tue Oct 15 17:37:22 PDT 2013"	""	""	""	""	"[""watch"",""electric kettle"",""laptop""]"	"""8"""	"[0.9,0.9,0.025]"	"[0.525,0.025,0.7]"	"[0.4,0,0.875]"	"[0.875,0.8,0]"	"[0.625,0.025,0.725]"	"[0.1,0.025,0.025]"	"[0.025,0.025,0.025]"	"[0.125,0.025,0.9]"	"[0.075,0.025,0.025]"	"[0.025,0,0.025]"	"[""Calvin"",""Alex"",""Bob""]"	"""N/A"""	"""45"""	"""M"""	"1"	"""English"""	"[1,2,3]"
