workerID,gender,language,income,age,utteranceID,domain,utteranceType,utteranceRounded,exactUtterance,utterance,utteranceExactType,opinionProb,order,interpretation,interpretationType,interpretationRounded,interpretationProb
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,50,round,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,51,sharp,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,500,round,500,0.05
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,501,sharp,500,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,1000,round,1000,0.575
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,1001,sharp,1000,0.975
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,5000,round,5000,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,5001,sharp,5000,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,10000,round,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,8,electric kettle,sharp,1000,1003,1001,biggerSharp,0.75,1,10001,sharp,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,50,round,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,51,sharp,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,500,round,500,0.05
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,501,sharp,500,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,1000,round,1000,1.0
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,1001,sharp,1000,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,5000,round,5000,0.025
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,5001,sharp,5000,0.0
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,10000,round,10000,0.05
AYEIQ08ZWJX3L,F,English,4,25,13,watch,round,1000,1000,1000,round,0.5,2,10001,sharp,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,50,round,50,0.05
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,51,sharp,50,0.05
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,500,round,500,0.025
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,501,sharp,500,0.975
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,1000,round,1000,0.075
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,1001,sharp,1000,0.05
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,5000,round,5000,0.025
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,5001,sharp,5000,0.025
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,10000,round,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,17,watch,sharp,500,503,501,biggerSharp,0.25,3,10001,sharp,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,50,round,50,0.075
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,51,sharp,50,0.05
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,500,round,500,0.05
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,501,sharp,500,0.05
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,1000,round,1000,0.05
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,1001,sharp,1000,0.025
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,5000,round,5000,0.05
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,5001,sharp,5000,0.95
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,10000,round,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,19,watch,sharp,5000,5002,5001,biggerSharp,0.75,4,10001,sharp,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,50,round,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,51,sharp,50,0.05
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,500,round,500,0.075
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,501,sharp,500,0.025
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,1000,round,1000,0.075
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,1001,sharp,1000,0.05
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,5000,round,5000,1.0
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,5001,sharp,5000,0.075
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,10000,round,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,4,electric kettle,round,5000,5000,5000,round,0.75,5,10001,sharp,10000,0.025
AYEIQ08ZWJX3L,F,English,4,25,3,electric kettle,round,1000,1000,1000,round,0.225,6,50,round,50,0.025
AYEIQ08ZWJX3L,F,English,4,25,3,electric kettle,round,1000,1000,1000,round,0.225,6,51,sharp,50,0.05
AYEIQ08ZWJX3L,F,English,4,25,3,electric kettle,round,1000,1000,1000,round,0.225,6,500,round,500,0.025
