workerID,gender,language,income,age,domain,order,buyer,interpretation,interpretationType,interpretationRounded,interpretationProb
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,50,round,50,0.0
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,51,sharp,50,0.0
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,500,round,500,0.204081632653
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,501,sharp,500,0.204081632653
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,1000,round,1000,0.204081632653
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,1001,sharp,1000,0.204081632653
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,5000,round,5000,0.0918367346939
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,5001,sharp,5000,0.0918367346939
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,10000,round,10000,0.0
A1KN3TP3P2NJHC,F,English,4,65,laptop,1,Alex,10001,sharp,10000,0.0
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,50,round,50,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,51,sharp,50,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,500,round,500,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,501,sharp,500,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,1000,round,1000,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,1001,sharp,1000,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,5000,round,5000,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,5001,sharp,5000,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,10000,round,10000,0.1
A1KN3TP3P2NJHC,F,English,4,65,watch,2,Bob,10001,sharp,10000,0.1
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,50,round,50,0.5
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,51,sharp,50,0.5
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,500,round,500,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,501,sharp,500,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,1000,round,1000,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,1001,sharp,1000,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,5000,round,5000,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,5001,sharp,5000,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,10000,round,10000,0.0
A1KN3TP3P2NJHC,F,English,4,65,electric kettle,3,Calvin,10001,sharp,10000,0.0
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,50,round,50,0.295454545455
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,51,sharp,50,0.242424242424
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,500,round,500,0.0984848484848
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,501,sharp,500,0.0984848484848
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,1000,round,1000,0.0757575757576
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,1001,sharp,1000,0.0757575757576
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,5000,round,5000,0.030303030303
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,5001,sharp,5000,0.0378787878788
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,10000,round,10000,0.0227272727273
A3DZ46U9XRLVBI,F,english,8,35,watch,1,Calvin,10001,sharp,10000,0.0227272727273
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,50,round,50,0.469879518072
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,51,sharp,50,0.481927710843
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,500,round,500,0.0240963855422
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,501,sharp,500,0.0240963855422
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,1000,round,1000,0.0
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,1001,sharp,1000,0.0
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,5000,round,5000,0.0
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,5001,sharp,5000,0.0
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,10000,round,10000,0.0
A3DZ46U9XRLVBI,F,english,8,35,electric kettle,2,Alex,10001,sharp,10000,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,50,round,50,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,51,sharp,50,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,500,round,500,0.233333333333
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,501,sharp,500,0.233333333333
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,1000,round,1000,0.266666666667
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,1001,sharp,1000,0.266666666667
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,5000,round,5000,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,5001,sharp,5000,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,10000,round,10000,0.0
A3DZ46U9XRLVBI,F,english,8,35,laptop,3,Bob,10001,sharp,10000,0.0
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,50,round,50,0.175438596491
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,51,sharp,50,0.175438596491
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,500,round,500,0.131578947368
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,501,sharp,500,0.131578947368
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,1000,round,1000,0.100877192982
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,1001,sharp,1000,0.100877192982
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,5000,round,5000,0.0526315789474
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,5001,sharp,5000,0.0526315789474
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,10000,round,10000,0.0394736842105
A3AJR1PM02424Y,F,English,4,35,watch,1,Calvin,10001,sharp,10000,0.0394736842105
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,50,round,50,0.347826086957
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,51,sharp,50,0.347826086957
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,500,round,500,0.0869565217391
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,501,sharp,500,0.0869565217391
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,1000,round,1000,0.0434782608696
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,1001,sharp,1000,0.0521739130435
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,5000,round,5000,0.0173913043478
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,5001,sharp,5000,0.0173913043478
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,10000,round,10000,0.0
A3AJR1PM02424Y,F,English,4,35,electric kettle,2,Alex,10001,sharp,10000,0.0
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,50,round,50,0.020942408377
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,51,sharp,50,0.020942408377
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,500,round,500,0.130890052356
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,501,sharp,500,0.125654450262
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,1000,round,1000,0.157068062827
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,1001,sharp,1000,0.157068062827
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,5000,round,5000,0.157068062827
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,5001,sharp,5000,0.162303664921
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,10000,round,10000,0.0314136125654
A3AJR1PM02424Y,F,English,4,35,laptop,3,Bob,10001,sharp,10000,0.0366492146597
A1XAOEDK0Y2KBT,M,English,8,45,laptop,1,Calvin,50,round,50,0.0
